935512.625	1915806.625	0
935533.5625	1915845.625	2
935547.5625	1915871.875	0
935574.0625	1915920.75	3
935617.875	1916004.125	0
935633.9375	1916035.125	4
935650	1916084.375	3
935654.0625	1916112.75	5
935659.5625	1916161.75	0
935657.3125	1916212.625	1
935669.0625	1916229.625	0
935682.4375	1916230.25	1
935693.0625	1916219.5	0
935694.8125	1916133.25	1
935681.125	1916119.25	0
935664.375	1916118.5	1
935652.9375	1916130.625	0
935654.0625	1916171.5	3
935652.375	1916240.75	0
935651.0625	1916314.375	3
935649.625	1916346.75	1
935632	1916357.875	0
935597.375	1916357.625	1
935579.6875	1916339.125	0
935580.5	1916265.5	3
935607.625	1916229.75	0
935627.3125	1916228.875	1
935640.125	1916212.625	0
935641.5	1916154.125	3
935641.75	1916097.625	8
935505.625	1915808.625	8
